step,epoch,loss,lr
1,1,7.7975,0.00000276
10,1,7.6750,0.00002762
20,1,7.4705,0.00005524
30,1,7.2460,0.00008286
40,1,7.0868,0.00011049
50,1,6.8162,0.00013811
60,1,6.5520,0.00016573
70,1,6.2178,0.00019335
80,1,5.8773,0.00022097
90,1,5.4622,0.00024859
100,1,5.4498,0.00027621
110,1,5.1406,0.00030383
120,1,5.1528,0.00033146
130,1,5.0687,0.00035908
140,1,4.9480,0.00038670
150,1,4.8958,0.00041432
160,1,4.7857,0.00044194
170,1,4.8515,0.00046956
180,1,4.7315,0.00049718
190,1,4.4677,0.00052481
200,1,4.8295,0.00055243
210,1,4.4118,0.00058005
220,1,4.6090,0.00060767
230,1,4.6424,0.00063529
240,1,4.5246,0.00066291
250,1,4.7047,0.00069053
260,1,4.4655,0.00071816
270,1,4.2748,0.00074578
280,1,4.5527,0.00077340
290,1,4.5566,0.00080102
300,1,4.1870,0.00082864
310,1,4.1613,0.00085626
320,1,4.3336,0.00088388
330,1,4.1987,0.00091150
340,1,4.0411,0.00093913
350,1,4.2551,0.00096675
360,1,3.9239,0.00099437
370,1,4.0414,0.00102199
380,1,4.3451,0.00104961
390,1,4.1107,0.00107723
400,1,4.1000,0.00110485
410,1,4.2946,0.00113248
420,1,4.0978,0.00116010
430,1,3.8086,0.00118772
440,1,3.8889,0.00121534
450,1,3.7276,0.00124296
460,1,3.7949,0.00127058
470,1,4.0820,0.00129820
480,1,3.8954,0.00132583
490,1,3.9034,0.00135345
500,1,4.0306,0.00138107
510,1,3.8178,0.00140869
520,1,3.9932,0.00143631
530,1,3.7606,0.00146393
540,1,3.7238,0.00149155
550,1,4.0825,0.00151917
560,1,3.8568,0.00154680
570,1,3.6804,0.00157442
580,1,3.9287,0.00160204
590,1,3.8670,0.00162966
600,1,4.0820,0.00165728
610,1,3.7710,0.00168490
620,1,3.6653,0.00171252
630,1,4.1664,0.00174015
640,1,3.9445,0.00176777
650,1,3.9158,0.00179539
660,1,4.2282,0.00182301
670,1,3.7253,0.00185063
680,1,3.6391,0.00187825
690,1,4.1778,0.00190587
700,1,3.6549,0.00193350
710,1,3.5904,0.00196112
720,1,3.7741,0.00198874
730,1,3.8208,0.00201636
740,1,3.7396,0.00204398
750,1,3.8481,0.00207160
760,1,3.7789,0.00209922
770,1,3.7980,0.00212684
780,1,3.6622,0.00215447
790,1,3.8102,0.00218209
800,1,3.8470,0.00220971
810,1,3.9957,0.00219603
820,1,3.7112,0.00218259
830,1,4.0065,0.00216941
840,1,3.9229,0.00215645
850,1,3.9198,0.00214373
860,1,3.6842,0.00213123
870,1,3.5979,0.00211895
880,1,3.7849,0.00210687
890,1,4.0335,0.00209500
900,1,3.6796,0.00208333
epoch_1,summary,4.3913,3.7471
910,2,3.5732,0.00207185
920,2,3.8293,0.00206056
930,2,3.7083,0.00204946
